PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME
202698,Chris Singleton,1610612754,Pacers
202699,Tobias Harris,1610612755,76ers
202700,Donatas Motiejunas,1610612759,Spurs
202701,Nolan Smith,1610612757,Trail Blazers
202702,Kenneth Faried,1610612745,Rockets
202703,Nikola Mirotic,1610612749,Bucks
202704,Reggie Jackson,1610612765,Pistons
202705,MarShon Brooks,1610612763,Grizzlies
202706,Jordan Hamilton,1610612740,Pelicans
202707,JaJuan Johnson,1610612745,Rockets
202708,Norris Cole,1610612760,Thunder
202709,Cory Joseph,1610612758,Kings
202710,Jimmy Butler,1610612748,Heat
202711,Bojan Bogdanovic,1610612762,Jazz
202712,Justin Harper,1610612755,76ers
202713,Kyle Singler,1610612760,Thunder
202714,Shelvin Mack,1610612766,Hornets
202715,Tyler Honeycutt,1610612758,Kings
202716,Jordan Williams,1610612751,Nets
202717,Trey Thompkins,1610612746,Clippers
202718,Chandler Parsons,1610612737,Hawks
202719,Jeremy Tyler,1610612745,Rockets
202720,Jon Leuer,1610612765,Pistons
202721,Darius Morris,1610612740,Pelicans
202722,Davis Bertans,1610612764,Wizards
202723,Malcolm Lee,1610612755,76ers
202724,Charles Jenkins,1610612755,76ers
202725,Josh Harrellson,1610612764,Wizards
202726,Andrew Goudelock,1610612745,Rockets
202727,Travis Leslie,1610612762,Jazz
202728,Keith Benson,1610612748,Heat
202729,Josh Selby,1610612763,Grizzlies
202730,Lavoy Allen,1610612764,Wizards
202731,Vernon Macklin,1610612740,Pelicans
202732,DeAndre Liggins,1610612748,Heat
202734,E'Twaun Moore,1610612740,Pelicans
202738,Isaiah Thomas,1610612764,Wizards
202775,Edwin Ubiles,1610612764,Wizards
202779,Dwight Buycks,1610612765,Pistons
202792,Tyren Johnson,1610612754,Pacers
202797,Lawrence Hill,1610612758,Kings
202808,Chris Daniels,1610612751,Nets
202809,Cory Higgins,1610612766,Hornets
202810,D.J. Kennedy,1610612743,Nuggets
202814,Mychel Thompson,1610612752,Knicks
202815,Jake Anderson,1610612741,Bulls
202820,Jarrid Famous,1610612742,Mavericks
202841,Cameron Jones,1610612744,Warriors
202862,Dennis Horner,1610612751,Nets
202872,Durrell Summers,1610612766,Hornets
202874,Chris Wright,1610612760,Thunder
202880,Jeff Foote,1610612740,Pelicans
202904,Gilbert Brown,1610612738,Celtics
202912,Frank Hassell,1610612759,Spurs
202918,Xavier Silas,1610612743,Nuggets
202933,Julyan Stone,1610612766,Hornets
202935,Adrian Oliver,1610612758,Kings
202951,Jeremy Pargo,1610612755,76ers
202952,Malcolm Thomas,1610612755,76ers
202954,Brad Wanamaker,1610612738,Celtics
202956,Gary Flowers,1610612744,Warriors
202957,Drew Neitzel,1610612742,Mavericks
202959,Tommy Mitchell,1610612744,Warriors
202961,Julian Khazzouh,1610612744,Warriors
202962,Greg Smith,1610612750,Timberwolves
202963,Jerome Randle,1610612742,Mavericks
202970,Gustavo Ayon,1610612737,Hawks
203006,Josh Akognon,1610612742,Mavericks
203076,Anthony Davis,1610612747,Lakers
